7,856,1710,208500
6,1262,1262,181500
7,920,1786,223500
7,756,1717,140000
8,1145,2198,250000
5,796,1362,143000
8,1686,1694,307000
7,1107,2090,200000
7,952,1774,129900
5,991,1077,118000
5,1040,1040,129500
9,1175,2324,345000
5,912,912,144000
7,1494,1494,279500
6,1253,1253,157000
7,832,854,132000
6,1004,1004,149000
4,0,1296,90000
5,1114,1114,159000
5,1029,1339,139000
8,1158,2376,325300
7,637,1108,139400
8,1777,1795,230000
5,1040,1060,129900
5,1060,1060,154000
8,1566,1600,256300
5,900,900,134800
8,1704,1704,306000
5,1484,1600,207500
4,520,520,68500
4,649,1317,40000
5,1228,1228,149350
8,1234,1234,179900
5,1398,1700,165500
9,1561,1561,277500
8,1117,2452,309000
5,1097,1097,145000
5,1297,1297,153000
5,1057,1057,109000
4,0,1152,82000
6,1088,1324,160000
5,1350,1328,170000
5,840,884,144000
5,938,938,130250
5,1150,1150,141000
9,1752,1752,319900
7,1434,2149,239686
8,1656,1656,249700
4,736,1452,113000
5,955,955,127000
6,794,1470,177000
6,816,1176,114500
5,816,816,110000
9,1842,1842,385000
5,384,1360,130000
6,1425,1425,180500
8,970,1739,172500
7,860,1720,196500
10,1410,2945,438780
5,780,780,124900
6,1158,1158,158000
5,530,1111,101000
8,1370,1370,202500
7,576,1710,140000
7,1057,2034,219500
8,1143,2473,317000
7,1947,2207,180000
7,1453,1479,226000
4,747,747,80000
7,1304,2287,225000
7,2223,2223,244000
4,845,845,129500
7,832,1718,185000
5,1086,1086,144900
3,840,1605,107400
4,462,988,91000
4,952,952,135750
5,672,1285,127000
4,1768,1768,136500
5,440,1230,110000
6,896,2142,193500
6,1237,1337,153500
8,1563,1563,245000
5,1065,1065,126500
7,384,1474,168500
8,1288,2417,260000
6,684,1560,174000
6,612,1224,164500
3,1013,1526,85000
4,990,990,123600
4,0,1040,109900
5,1235,1235,98600
5,876,964,163500
6,1214,2291,133900
6,824,1786,204750
6,680,1470,185000
7,1588,1588,214000
4,960,960,94750
5,458,835,83000
4,950,1225,128950
6,1610,1610,205000
6,741,1732,178000
5,0,1535,118964
7,1226,1226,198900
7,1040,1818,169500
8,1053,1992,250000
4,641,1047,100000
5,789,789,115000
5,793,1517,115000
6,1844,1844,190000
